"Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,68.6565-83.9135"
"Aluminium Oxide + Magnesium Trisilicate,136.8-167.2"
"Alverine Citrate,3.762-4.598"
"Amalaki Rasayana,136.8-167.2"
"Amantadine Hydrochloride,35.226-43.054"
"Ambar Momiyaee,19.665-24.035"
"Ambergris + Salep + Galangal,47.88-58.52"
"Ambrisentan,27.405-33.495"
"Ambroxol Hydrochloride,3.42-4.18"
"Amikacin,1.368-1.672"
"Amino Acid,342-418"
"Amino Acid + Calcium,25.308-30.932"
"Amino Acid + Dextrose + Eloctrolytes,342-418"
"Amino Acid + D-Sorbitol + Electrolytes,205.2-250.8"
"Amino Acid + Glucose + Electrolytes,256.5-313.5"
"Amino Acid Keto Analogues,27.36-33.44"
"Aminocaproic acid,5.13-6.27"
"Aminophylline,1.845-2.255"
"Amiodarone Hydrochloride,7.2045-8.8055"
"Amisulpride,17.784-21.736"
"Amitriptyline Hydrochloride,0.774-0.946"
"Amitriptyline Hydrochloride + Chlordiazepoxide,5.13-6.27"
"Amlexanox,3.42-4.18"
"Amlodipine Besilate,3.5955-4.3945"
"Amlodipine Besilate + Atenolol,3.771-4.609"
"Amlodipine Besilate + Atorvastatin,6.5205-7.9695"
"Amlodipine Besilate + Benazepril Hydrochloride,4.8105-5.8795"
"Amlodipine Besilate + Olmesartan Medoxomil,9.234-11.286"
"Amlodipine Besilate + Telmisartan,10.944-13.376"
"Amlodipine Besilate + Valsartan,29.1015-35.5685"
"Amorolfine Hydrochloride (cream),6.84-8.36"
"Amorolfine Hydrochloride (Nail Lacquer),2.052-2.508"
"Amoxicillin + Clavulanic Acid,205.6095-251.3005"
"Amoxicillin Trihydrate,171.342-209.418"
"Amphotericin B,34.2-41.8"
"Ampicillin Sodium,171.7245-209.8855"
"Anastrozole,30.78-37.62"
"Andrographis paniculata,3.42-4.18"
"Anidulafungin,68.4-83.6"
"Aniseed + Indian dill + Black cardamom + Peppermint,68.4-83.6"
"Antacid [Unani],0.684-0.836"
"Antazoline + Tetryzoline,6.84-8.36"
"Antihemophilic Factor [Factor VIII],171-209"
"Antioxidants and Micronutrients,20.52-25.08"
"Anti-Thymocyte Globulin,17.1-20.9"
"Apis mellifica + Gelsemium sempervirens + Gnaphalium,77.292-94.468"
"Apixaban,11.97-14.63"
"Apremilast,29.07-35.53"
"Aprepitant,66.735-81.565"
"Arabinoxylan,34.542-42.218"
"Aravindasav,68.4-83.6"
"Arformoterol Tartrate,1.368-1.672"
"Aripiprazole,17.784-21.736"
"Arjunarista,136.8-167.2"
"Armodafinil,13.68-16.72"
"Artemether + Lumefantrine,26.3745-32.2355"
"Artesunate,7.551-9.229"
"Articaine Hydrochloride + Epinephrine,1.233-1.507"
"Ashokarista,136.8-167.2"
"Aspartame,0.54-0.66"
"Aspirin,34.3035-41.9265"
"Aspirin + Dipyridamole,8.208-10.032"
"Astaxanthin,10.9845-13.4255"
"Aswagandharista,136.8-167.2"
"Atenolol,0.6255-0.7645"
"Atenolol + Chlorthalidone,1.71-2.09"
"Atezolizumab,820.8-1003.2"
"Atomoxetine Hydrochloride,5.472-6.688"
"Atorvastatin + Ezetimibe,12.312-15.048"
"Atorvastatin Calcium,15.4305-18.8595"
"Atosiban Acetate,2.016-2.464"
"Atracurium Besilate,1.71-2.09"
"Atropine Sulfate,3.762-4.598"
"Aushokarist [Saraca Indica],136.8-167.2"
"Avanafil,37.62-45.98"
"Axitinib,171.342-209.418"
"Azathioprine,10.944-13.376"
"Azelaic Acid,6.84-8.36"
"Azelastine Hydrochloride (Eye drop),3.42-4.18"
"Azelastine Hydrochloride (Nasal Spray),82.08-100.32"
"Azelastine Hydrochloride + Fluticasone Propionate,82.08-100.32"
"Azilsartan Medoxomil,11.628-14.212"
"Azilsartan Medoxomil + Chlorthalidone,15.048-18.392"
"Azithromycin Dihydrate,0.684-0.836"
"Azithromycin Dihydrate (Ophthalmic),1.71-2.09"
"Aztreonam,0.684-0.836"
"Bacillus Clausii spores,3.42-4.18"
"Bacitracin Zinc + Polymyxin B Sulfate,2.736-3.344"
"Baclofen,35.739-43.681"
"Bacopa extract [Natural memory enhancer],68.4-83.6"
"Balanced Salt Solution,205.2-250.8"
"Balarista,136.8-167.2"
"Baloxavir Marboxil,0.684-0.836"
"Bambuterol Hydrochloride,34.713-42.427"
"Bandish [Oak Galls,2.052-2.508"
"Baricitinib,20.52-25.08"
"Barium Sulfate,102.6-125.4"
"Barsina,2.052-2.508"
"Basiliximab,13.68-16.72"
"Beclometasone Dipropionate + Formoterol Fumarate,136.8-167.2"
"Beclomethasone Dipropionate (Inhaler),136.8-167.2"
"Beclomethasone Dipropionate (Nasal Spray),109.44-133.76"
"Beclomethasone Dipropionate + Chloramphenicol + Clotrimazole + Lidocaine,3.42-4.18"
"Belgiri [Bael fruit + Connessi bark],68.4-83.6"
"Bempedoic acid,20.52-25.08"
"Bendamustine,17.1-20.9"
"Benzalkonium chloride,342-418"
"Benzathine Penicillin,6.156-7.524"
"Benzocaine,3.42-4.18"
"Benzocaine + Butamben + Tetracaine Hydrochloride,20.52-25.08"
"Benzoic Acid + Salicylic Acid,10.602-12.958"
"Benzoyl Peroxide,22.23-27.17"
"Benzydamine Hydrochloride,126.54-154.66"
"Benzyl Benzoate,174.42-213.18"
"Benzyl Penicillin,5.13-6.27"
"Bepotastine Besilate,3.42-4.18"
"Besifloxacin,3.42-4.18"
"Betacarotene + Vitamin C + Vitamin E,3.5055-4.2845"
"Betahistine Dihydrochloride,2.3985-2.9315"
"Betahistine Mesylate,1.377-1.683"
"Betamethasone,0.5535-0.6765"
"Betamethasone + Calcipotriol,15.39-18.81"
"Betamethasone + Clotrimazole,8.55-10.45"
"Betamethasone + Clotrimazole + Gentamicin,8.55-10.45"
"Betamethasone + Neomycin Sulphate (E/E),2.736-3.344"
"Betamethasone + Neomycin Sulphate (Topical),6.156-7.524"
"Betamethasone + Phenylephrine + Lignocaine,10.26-12.54"
"Betamethasone Dipropionate,13.68-16.72"
"Betamethasone Dipropionate + Salicylic Acid,13.68-16.72"
"Betamethasone Sodium Phosphate,3.42-4.18"
"Betamethasone Valerate,8.55-10.45"
"Betaxolol Hydrochloride,3.42-4.18"
"Betrixaban,61.56-75.24"
"Bevacizumab,171-209"
"Bicalutamide,37.62-45.98"
"Bicarbonate Component [HCO3 Hemodialysis Solution],6.84-8.36"
"Bilastine,6.84-8.36"
"Bilberry fruit [Vaccinium myrtillus L],13.68-16.72"
"Bimatoprost,2.736-3.344"
"Bimatoprost + Timolol,2.052-2.508"
"Biotin,15.39-18.81"
"Biphasic Insulin Aspart [rDNA],2.052-2.508"
"Bisacodyl,0.486-0.594"
"Bismuth Subsalicylate,102.6-125.4"
"Bisoprolol Fumarate + Amlodipine Besilate,5.472-6.688"
"Bisoprolol Fumarate + Hydrochlorothiazide,8.271-10.109"
"Bisoprolol Hemifumarate,10.089-12.331"
"Bitter Melon [Korola],2.052-2.508"
"Bivalirudin,171-209"
"Black Cohosh [Cimicifuga Racemosa],3.42-4.18"
"Bleomycin Sulfate,10.26-12.54"
"Bortezomib,1.026-1.254"
"Bosentan Monohydrate,102.6-125.4"
"Brahmi Rasayan,68.4-83.6"
"Brexpiprazole,8.55-10.45"
"Brigatinib,1.368-1.672"
"Brimonidine Tartrate,3.42-4.18"
"Brimonidine Tartrate + Timolol Maleate,3.42-4.18"
"Brinzolamide,3.42-4.18"
"Brinzolamide + Brimonidine Tartrate,3.42-4.18"
"Brinzolamide + Timolol,3.42-4.18"
"Brivaracetam,49.59-60.61"
"Bromazepam,3.249-3.971"
"Bromelain + Trypsin,4.104-5.016"
"Bromfenac Sodium,3.42-4.18"
"Bromhexine Hydrochloride,34.4385-42.0915"
"Bromocriptine Mesylate,11.0205-13.4695"
"Budesonide (Inhaler),136.8-167.2"
"Budesonide (Nasal Spray),82.08-100.32"
"Budesonide (Nebuliser Suspension),1.368-1.672"
"Budesonide (Tablet),20.52-25.08"
"Budesonide + Formoterol Fumarate,308.142-376.618"
"Bumetanide,6.84-8.36"
"Bupivacaine Hydrochloride,17.1-20.9"
"Bupivacaine Hydrochloride + Dextrose,2.736-3.344"
"Bupropion Hydrochloride,6.8625-8.3875"
"Busulfan,7.047-8.613"
"Butamirate Citrate,71.145-86.955"
"Butenafine Hydrochloride,8.55-10.45"
"Buzuri,68.4-83.6"
"Cabazitaxel,1.026-1.254"
"Cabergoline,54.72-66.88"
"Cabozantinib,239.742-293.018"
"Calamine + Zinc Oxide + Glycerine,68.4-83.6"
"Calcipotriol Monohydrate,13.68-16.72"
"Calcitriol,7.2045-8.8055"
"Calcitriol + Calcium Citrate,6.498-7.942"
"Calcium + Vitamin D3 + Vitamin C + Vitamin E + Multimineral,3.6-4.4"
"Calcium Acetate,3.087-3.773"
"Calcium Carbonate,10.7775-13.1725"
"Calcium Carbonate [Algae source] + Vitamin D3,7.866-9.614"
"Calcium Carbonate [Coral source] + Vitamin D3,7.866-9.614"
"Calcium Carbonate [Eggshell Source] + Vitamin D3,8.55-10.45"
"Calcium Carbonate [Elemental source] + Vitamin D3,11.286-13.794"
"Calcium Carbonate + Vitamin D3 + Multimineral,8.208-10.032"
"Calcium Dobesilate,13.68-16.72"
"Calcium Dobesilate + Lidocaine + Dexamethasone,20.52-25.08"
"Calcium Folinate [Folinic Acid],71.478-87.362"
"Calcium Gluconate,5.13-6.27"
"Calcium Lactate,34.2945-41.9155"
"Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C,7.7985-9.5315"
"Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C + Vitamin D3,6.156-7.524"
"Calcium Lactate Gluconate + Calcium Carbonate + Vitamin D3,10.944-13.376"
"Calcium Lactate Gluconate + Coral Calcium + Vitamin C + Vitamin D3,8.208-10.032"
"Calcium Orotate,5.823-7.117"
"Calcium Pantothenate,68.4-83.6"
"Calcium Polystyrene Sulfonate,102.6-125.4"
"Calendula Officinalis [Marigold],6.84-8.36"
"Camphor + Menthol + Oil Clove + Oil Eucalyptus + Oil Turpentine,13.68-16.72"
"Camphor + Thymol + Menthol + Eucalyptus oil,34.2-41.8"
"Canagliflozin Hemihydrate,39.555-48.345"
"Candesartan Cilexetil,5.823-7.117"
"Candesartan Cilexetil + Hydrochlorothiazide,4.104-5.016"
"Capecitabine,63.27-77.33"
"Caprylic + Capric Triglyceride,76.95-94.05"
"Capsaicin,13.68-16.72"
"Captopril,2.6595-3.2505"
"Carbamazepine,35.4015-43.2685"
"Carbetocin,0.684-0.836"
"Carbimazole,2.736-3.344"
"Carbocisteine,35.055-42.845"
"Carbonyl Iron + Folic Acid,1.683-2.057"
"Carbonyl Iron + Folic Acid + Zinc Sulfate,2.8395-3.4705"
"Carbonyl Iron + Folic Acid + Zinc Sulfate + Vitamin B Complex + Vitamin C,2.7405-3.3495"
"Carboplatin,205.2-250.8"
"Carboprost Tromethamine,0.684-0.836"
"Carboxymethylcellulose Sodium,8.55-10.45"
"Carboxymethylcellulose Sodium + Glycerin,6.84-8.36"
"Carboxymethylcellulose Sodium + Hypromellose,6.84-8.36"
"Carica Papaya Leaf Extract,10.26-12.54"
"Carisoprodol,4.104-5.016"
"Carmellose Sodium,6.84-8.36"
"Carvedilol,4.293-5.247"
"Casirivimab + Imdevimab,558.144-682.176"
"Cefaclor Monohydrate,39.33-48.07"
"Cefadroxil Monohydrate,38.214-46.706"
"Cefazolin Sodium,342.342-418.418"
"Cefdinir,30.78-37.62"
"Cefditoren,136.8-167.2"
"Cefepime Hydrochloride,171.342-209.418"
"Cefixime Trihydrate,37.62-45.98"
"Cefoperazone Sodium,171.342-209.418"
"Cefotaxime,171.342-209.418"
"Cefpodoxime Proxetil,21.906-26.774"
"Cefpodoxime Proxetil + Clavulanic Acid,23.9895-29.3205"
"Cefprozil,29.133-35.607"
"Ceftazidime + Avibactam,1.71-2.09"
"Ceftazidime Pentahydrate,171.342-209.418"
"Ceftibuten Dihydrate,61.686-75.394"
"Ceftriaxone Sodium,171.342-209.418"
"Cefuroxime Axetil,256.842-313.918"
"Cefuroxime Axetil + Clavulanic Acid,38.988-47.652"
"Celecoxib,4.104-5.016"
"Celiprolol Hydrochloride,7.866-9.614"
"Cephalexin,35.568-43.472"
"Cephradine,171.342-209.418"
"Ceritinib,215.0055-262.7845"
"Cetalkonium Chloride + Choline Salicylate,6.84-8.36"
"Cetirizine Hydrochloride,20.862-25.498"
"Cetirizine Hydrochloride (Ophthalmic),3.42-4.18"
"Cetrorelix Acetate,171-209"
"Cetuximab,13.68-16.72"
"Chebulic Myrobalan + Barberry,2.052-2.508"
"Chirata [Swertia Chirata],2.736-3.344"
"Chlorambucil,31.104-38.016"
"Chloramphenicol (Ophthalmic),4.446-5.434"
"Chloramphenicol (Oral),21.204-25.916"
"Chloramphenicol + Lidocaine Hydrochloride,6.84-8.36"
"Chlorhexidine Gluconate [0.2%],119.7-146.3"
"Chlorhexidine Gluconate [1%],30.78-37.62"
"Chlorhexidine Gluconate [4%],171-209"
"Chlorhexidine Gluconate [7.1%],6.84-8.36"
"Chlorhexidine Gluconate + Cetrimide,171.342-209.418"
"Chlorhexidine Gluconate + Isopropyl alcohol,102.6-125.4"
"Chlorhexidine Hydrochloride + Cetrimide,15.39-18.81"
"Chlorhexidine hydrochloride + Nystatin,20.52-25.08"
"Chloroquine Phosphate,34.542-42.218"
"Chloroxylenol,51.3-62.7"
"Chloroxylenol + Triclosan,34.2-41.8"
"Chlorpheniramine Maleate,68.4405-83.6495"
"Chlorpromazine Hydrochloride,10.467-12.793"
"Chlorthalidone,3.42-4.18"
"Cholera Saline,178.65-218.35"
"Choriogonadotropin Alpha,0.342-0.418"
"Ciclesonide (Inhalation Aerosol),82.08-100.32"
"Ciclesonide (Nasal Spray),82.08-100.32"
"Ciclopirox Olamine (Cream),10.26-12.54"
"Ciclopirox Olamine (Nail Lacquer),2.259-2.761"
"Ciclopirox Olamine (Shampoo),68.4-83.6"
"Cilnidipine,4.104-5.016"
"Cilostazol,6.5295-7.9805"
"Cinchocaine + Hydrocortisone + Framycetin + Esculin,7.875-9.625"
"Cinchocaine + Hydrocortisone + Neomycin + Esculin,7.866-9.614"
"Cinnarizine,0.513-0.627"
"Cinnarizine + Dimenhydrinate,1.206-1.474"
"Ciprofibrate,10.26-12.54"
"Ciprofloxacin,87.057-106.403"
"Ciprofloxacin (Ophthalmic),4.446-5.434"
"Ciprofloxacin + Dexamethasone,3.42-4.18"
"Ciprofloxacin + Hydrocortisone Acetate,6.84-8.36"
"Cisplatin,20.52-25.08"
"Citalopram Hydrobromide,4.4775-5.4725"
"Citicoline Sodium,18.468-22.572"
"Citric Acid Monohydrate,68.4-83.6"
"Clarithromycin,179.55-219.45"
"Clascoterone,6.84-8.36"
"Clindamycin,34.884-42.636"
"Clindamycin (Lotion),17.1-20.9"
"Clindamycin (Vaginal Cream),13.68-16.72"
"Clindamycin + Benzoyl peroxide,11.97-14.63"
"Clindamycin + Tretinoin,8.55-10.45"
"Clioquinol + Flumetasone Pivalate,3.42-4.18"
"Clobazam,2.592-3.168"
"Clobetasol Propionate (Scalp Preparation),29.07-35.53"
"Clobetasol Propionate (Topical Preparation),10.26-12.54"
"Clobetasol Propionate + Neomycin Sulphate + Nystatin,13.68-16.72"
"Clobetasol Propionate + Ofloxacin + Ornidazole + Terbinafine,11.88-14.52"
"Clobetasol Propionate + Salicylic Acid,13.68-16.72"
"Clobetasone Butyrate,11.97-14.63"
"Clomiphene Citrate,9.5985-11.7315"
"Clomipramine Hydrochloride,5.0445-6.1655"
"Clonazepam,4.788-5.852"
"Clonidine Hydrochloride,5.481-6.699"
"Clopidogrel + Aspirin,6.9615-8.5085"
"Clopidogrel Bisulphate,7.9245-9.6855"
"Clostridium Botulinum Toxin Type A Neurotoxin,68.4-83.6"
"Clotrimazole (Ear drop),6.84-8.36"
"Clotrimazole (Eye ointment),2.736-3.344"
"Clotrimazole (Topical),6.21-7.59"
"Clotrimazole (Vaginal suppository),13.77-16.83"
"Clotrimazole (Vaginal tablet),27.4995-33.6105"
"Clotrimazole + Hydrocortisone,6.84-8.36"
"Clove oil,68.4-83.6"
"Cloxacillin Sodium,172.368-210.672"
"Clozapine,4.7295-5.7805"
"Coagulation Factor VIIa [Eptacog Alfa],0.684-0.836"
"Coal Tar,34.2-41.8"
"Coal Tar + Precipitated Sulphur + Salicylic Acid,20.52-25.08"
"Coal Tar Solution,102.6-125.4"
"Cod Liver Oil,1.7145-2.0955"
"Coenzyme Q10 [Ubidecarenone],28.395-34.705"
"Colchicine,3.933-4.807"
"Colecalciferol [Vitamin D3],34.542-42.218"
"Colistimethate Sodium,1.881-2.299"
"Collagen II & GAGs,18.009-22.011"
"Compound Asparagus,136.8-167.2"
"Conjugated Estrogen (Cream),10.26-12.54"
"Conjugated Estrogen (Tablet),13.68-16.72"
"Conjugated Estrogen + Bazedoxifene,54.72-66.88"
"Copper Peptide + Procapil + Niacinamide + Biotin + L-Arginine,30.78-37.62"
"Cranberry [Vaccinium macrocarpon],9.738-11.902"
"Crisaborole,6.84-8.36"
"Crizotinib,256.842-313.918"
"Crotamiton,23.94-29.26"
"Curcuminoids [Curcuma Longa],23.94-29.26"
"Cyanocobalamin,0.684-0.836"
"Cyclizine Hydrochloride,8.208-10.032"
"Cyclobenzaprine Hydrochloride,1.71-2.09"
"Cyclopentolate Hydrochloride,3.42-4.18"
"Cyclophosphamide,171.342-209.418"
"Cyclosporine,97.434-119.086"
"Cyclosporine (Ophthalmic),3.42-4.18"
"Cyproterone Acetate + Ethinyl Estradiol,14.364-17.556"
"Cytarabine,376.2-459.8"
"Dabigatran Etexilate Mesylate,58.14-71.06"
"Dacarbazine,136.8-167.2"
"Daclatasvir,271.89-332.31"
"Daclatasvir + Sofosbuvir,0.684-0.836"
"Dacomitinib,205.2-250.8"
"Dalteparin Sodium,4275-5225"
"Danazol,19.836-24.244"
"Dantrolene Sodium,8.55-10.45"
"Dapagliflozin Propanediol,14.364-17.556"
"Dapoxetine Hydrochloride,23.94-29.26"
"Dapsone,15.39-18.81"
"Darbepoetin Alfa,42.75-52.25"
"Darifenacin,15.093-18.447"
"Dasamularista,136.8-167.2"
"Dasatinib,215.46-263.34"
"Date palm + Betel nut + Acacia,34.2-41.8"
"Datura + Rhubarb + Ginger,1.368-1.672"
"Daunorubicin,13.68-16.72"
"D-chiro-inositol,54.72-66.88"
"Deferasirox,81.2835-99.3465"
"Deferiprone,10.431-12.749"
"Deferoxamine Mesylate,342-418"
"Deflazacort,23.256-28.424"
"Degarelix Acetate,68.4-83.6"
"Dehydroepiandrosterone,10.26-12.54"
"Delafloxacin,205.2-250.8"
"Denosumab,0.9225-1.1275"
"Dequalinium Chloride,23.94-29.26"
"Desloratadine,21.204-25.916"
"Desmopressin Acetate,48.906-59.774"
"Desogestrel,19.152-23.408"
"Desonide,10.26-12.54"
"Desoximetasone,13.68-16.72"
"Desvenlafaxine,8.55-10.45"
"Devil’s Cotton + Ashoka bark + Aswagandha,68.4-83.6"
"Devil's Claw,13.563-16.577"
"Dexamethasone,4.617-5.643"
"Dexamethasone (Ophthalmic),2.736-3.344"
"Dexamethasone + Chloramphenicol,3.42-4.18"
"Dexamethasone + Neomycin Sulphate + Polymyxin B Sulphate,3.42-4.18"
"Dexamethasone + Tobramycin,2.736-3.344"
"Dexibuprofen,35.226-43.054"
"Dexketoprofen,2.745-3.355"
"Dexlansoprazole,8.208-10.032"
"Dexmedetomidine Hydrochloride,1.368-1.672"
"Dexpanthenol,34.2-41.8"
"Dextran + Hypromellose,6.84-8.36"
"Dextromethorphan + Phenylephrine + Triprolidine,68.4-83.6"
"Dextromethorphan + Pseudoephedrine + Triprolidine,68.4-83.6"
"Dextromethorphan Hydrobromide,68.4-83.6"
"Dextromethorphan Hydrobromide + Guaifenesin,6.84-8.36"
"Dextrose,6.84-8.36"
"Dextrose & Hartmann's Solution,342-418"
"Diabasic Sodium Phosphate + Monobasic Sodium Phosphate,90.972-111.188"
"Diazepam,1.1025-1.3475"
"Diazoxide,102.6-125.4"
"Diclofenac Diethylamine + Mephenesin + Menthol + Methyl Salicylate + Turpentine Oil,17.1-20.9"
"Diclofenac Potassium,3.447-4.213"
"Diclofenac Sodium,0.27-0.33"
"Diclofenac Sodium (Ophthalmic),3.42-4.18"
"Diclofenac Sodium + Lidocaine Hydrochloride,1.368-1.672"
"Diclofenac Sodium + Methyl Salicylate + Linseed Oil + Menthol,34.2-41.8"
"Diclofenac Sodium + Misoprostol,6.84-8.36"
"Dicycloverine Hydrochloride,17.784-21.736"
"Dienogest,30.78-37.62"
"Dienogest + Estradiol Valerate,19.152-23.408"
"Diethylcarbamazine Citrate,0.702-0.858"
"Diflorasone Diacetate,6.84-8.36"
"Difluprednate,3.42-4.18"
"Digoxin,20.8935-25.5365"
"Diloxanide Furoate,21.1005-25.7895"
"Diltiazem Hydrochloride (FC tablet),2.394-2.926"
"Diltiazem Hydrochloride (SR tablet),2.052-2.508"
"Dinar,68.4-83.6"
"Diphenhydramine + Dextromethorphan + Levomenthol,68.4-83.6"
"Diphenhydramine + Levomenthol,68.4-83.6"
"Diphenhydramine Hydrochloride,35.055-42.845"
"Diphenhydramine Hydrochloride + Zinc Acetate,5.13-6.27"
"Diphtheria,0.342-0.418"
"Diphtheria,12.276-15.004"
"Diphtheria + Pertussis + Tetanus [DPT],8.6715-10.5985"
"Dipyridamole,6.156-7.524"
"Disopyramide Phosphate,4.959-6.061"
"Dithranol + Boric Acid + Salicylic Acid,8.892-10.868"
"Dobutamine,34.2-41.8"
"Docetaxel Trihydrate,10.26-12.54"
"Docusate Sodium (Ear drop),4.788-5.852"
"Docusate Sodium (Oral),34.884-42.636"
"Domperidone Maleate,3.762-4.598"
"Donepezil Hydrochloride,5.13-6.27"
"Dopamine Hydrochloride,172.71-211.09"
"Doripenem,87.21-106.59"
"Dorzolamide + Timolol,5.13-6.27"
"Doxepin (Oral),11.97-14.63"
"Doxepin (Topical),44.46-54.34"
"Doxophylline,4.788-5.852"
"Doxorubicin Hydrochloride,4.275-5.225"
"Doxycycline Hydrochloride,0.702-0.858"
"Drospirenone,1.368-1.672"
"Drotaverine,1.1115-1.3585"
"Dulaglutide,6.4125-7.8375"
"Duloxetine Hydrochloride,6.5115-7.9585"
"Dutasteride,13.68-16.72"
"Dydrogesterone,27.297-33.363"
"Ebastine,4.446-5.434"
"Echinacea,11.97-14.63"
"Econazole Nitrate,8.55-10.45"
"Econazole Nitrate + Triamcinolone Acetonide,70.3485-85.9815"
"Efavirenz,78.66-96.14"
"Eflornithine Hydrochloride,44.46-54.34"
"Ejaz,114.57-140.03"
"Elagolix,372.6-455.4"
"Eltrombopag Olamine,58.482-71.478"
"Eluxadoline,213.75-261.25"
"Emblic Myrobalan + Aswagandha + Grape,34.542-42.218"
"Emblic Myrobalan + Chebulic + Belleric,44.802-54.758"
"Emblic Myrobalan + Sesame,78.66-96.14"
"Emblica officinalis + Piper longum,41.04-50.16"
"Emollient [Cepalin+Allantoin],33.174-40.546"
"Empagliflozin,18.81-22.99"
"Empagliflozin + Linagliptin,15.39-18.81"
"Empagliflozin + Metformin Hydrochloride,4.3425-5.3075"
"Enalapril Maleate,0.513-0.627"
"Encephalitis Vaccine,0.4455-0.5445"
"Enoxaparin Sodium,34.371-42.009"
"Entecavir,17.1-20.9"
"Epalrestat,4.4505-5.4395"
"Eperisone Hydrochloride,35.226-43.054"
"Ephedrine Hydrochloride,1.8135-2.2165"
"Epinastine Hydrochloride,18.81-22.99"
"Epirubicin Hydrochloride,32.49-39.71"
"Eplerenone,10.467-12.793"
"Epoetin Beta,34.3035-41.9265"
"Eptifibatide,8.55-10.45"
"Erdosteine,5.472-6.688"
"Ergometrine Maleate,1.917-2.343"
"Ergotamine Tartrate + Caffeine,2.052-2.508"
"Eribulin Mesylate,256.842-313.918"
"Erlotinib,0.684-0.836"
"Ertapenem,8.892-10.868"
"Ertugliflozin,18.81-22.99"
"Erythromycin (Lotion),42.75-52.25"
"Erythromycin (Oral),3421.179-4181.441"
"Erythropoietin,4104-5016"
"Erythropoietin Alfa,689.472-842.688"
"Escitalopram Oxalate,13.8195-16.8905"
"Eslicarbazepine Acetate,15.426-18.854"
"Esmolol Hydrochloride,17.1-20.9"
"Esomeprazole,15.048-18.392"
"Esomeprazole (MUPS tablet),4.788-5.852"
"Esomeprazole + Amoxicillin + Clarithromycin,2.394-2.926"
"Espand,11.286-13.794"
"Estradiol,20.52-25.08"
"Estradiol Valerate,13.6575-16.6925"
"Estriol (Oral),7.875-9.625"
"Estriol (Vaginal),6.165-7.535"
"Eszopiclone,0.963-1.177"
"Etanercept,0.738-0.902"
"Ethambutol,34.767-42.493"
"Ethanol + Isopropyl alcohol,10.602-12.958"
"Ethinyl Estradiol + Desogestrel (0.02 mg),14.364-17.556"
"Ethinyl Estradiol + Desogestrel (0.03 mg),16.758-20.482"
"Ethinyl Estradiol + Desogestrel + Ferrous Fumarate,16.758-20.482"
"Ethinyl Estradiol + Drospirenone (21 tablet),15.39-18.81"
"Ethinyl Estradiol + Drospirenone (24 tablet),16.416-20.064"
"Ethinyl Estradiol + Drospirenone (HRT),14.364-17.556"
